address,value
0x61f5de19b72790c0e679d3c21f069a32585f6c8a,25000
0xf9ac74d2e6b22b78e48bf02f0e60bdae85fbc8f8,23673.32625
0xf11f040af711dfe7fd2f702cfb69966fe9fcb104,23119.64675
0x61907a653edc55d5ee4fe25946f7fca10d3208e9,22364.51906
0x27aa921c8cbcc1e8d6d9cfd491241345d09012e3,22177.3245
0xa8e19d0aea3674ade4c4c0abefb4074e53f492ee,22130.775
0x86110aae29644154e32b3f10546212eb894e9c64,21062.73905
0x37aa84018ca2dfb2e73aac5f53d26c1743922b4e,20569.54787
0xc773c6bf6fec66ecd00a758d18e8f01668fd3fbc,18475.62978
0xa116f69dbb83b981b4e45403265ccb625df4adfc,18000.29937
0x280cba9bb3bd5e222b75fd9d5ff0d3ec43f0d087,17957.67287
0xa8c3c99d7c8036bba831c174f4b225b4a6bcf39d,15760.02825
0xda862c8fc736cf54200650f2d2986f68bdd41cb5,15749.82
0xfde332425a1193e8995accd8103d45b959a39b50,15603.23553
0x4a1e840c5d648f6ea762e686185226dd1033bbc2,14672.2946
0xc2639b958dc4bccc844b4b43be37c7a6238b6851,14445.188
0xfac59b27182309f5d501fde1fecb54bd047c4acb,14180.67819
0xbd56fe45cafbc7b90619e0b14b65a0a2b5c9da39,14126.91957
0xcddb37287e77ca526fc3ac84e3f18a3ecc66e87e,13809.19816
0xb134571be5507654f6fae738e277e64af6ae3ef6,13761.74
0x63a40384472a8ac2733a23f4b17014ea74b3be95,13367.05422
0xf66bdc4a40cb9e30dff5aba8e2f824c3a65f5b92,12923.19149
0x90bc33d06e062bf5cc3c6d607aecc76db782fef0,12861
0xade883c2d201faee374ee238b88f4c0d9adf0d04,12850.17287
0x451534d89e7285d4a3a8f4e967c12c3df74faad2,12641.37865
0x4b5333ae9fee0336e044730af6787887a40da409,12617.61968
0xab6c451deb249b4d488b0abbfb2c08486853435b,12603.89439
0xb04339a6581e3905ca57c9c4fffacccb3b5fd799,12552.11332
0xe818e44fe7d28bc1cc4b0b776c9b7c08e8314b8e,12523.49734
0xc24532ec2c63a22074a4f6f177298930e20ff34a,12476.81875
0xc07f35c6b50ded5ab47f6fb7280195797b935852,11763.47394
0x61ecce3c6f7faee69e414d0745c6378c041cc0e3,11757.11302
0x7bf7cee586fb1a53a20d1e52681fb322f3a7ebdf,11362.48125
0x8d95922ad0ef34bbc40143e2deb18e57ea0869ba,11306.71543
0xb13965d2514d3862cfcd3333c089cd65d6222d0b,10892.53989
0x3f5d58185b79cbdef4774844a00e34eff1bca37c,10841.825
0x16345ddf682b57b256bbfb69da1a53a0eda761e8,10813.8105
0xa4c939a6d256a5e7c832cd3c25017fdbc85c29f0,10694.95
0x27cf12250bab73eb1ec021edb6580e2e26711327,10148.56639
0x0de394678620b6a67bbb7e637ab8821fe14b3f25,10097.2766
0x78a3d3a924ab720c1675d37aad143ae31215cfe7,10002.65955
0xa439ce41365080d18353f89b8210da804b5ecbd2,9980.058484
0xaf7647ae2a273ca4c513196516a3f92c61b26d86,9723.825
0xd58cd125af2ccac3e16980e479343f41d3c80ec4,9613.15875
0x9d8e024f17b64508019130082bf65637f44929f8,9506.16
0x1efe1fe4e8ba4f23c982c74e676c4632ae1ea032,9429.768552
0xa35f1a80a4a8b8cb6175762d67266ea10eb02840,9358.637215
0xfdf9058f1848c9523575fcf17bf7a53e4fa149c6,8971
0x5f1cfd5a47701c8ce5660932eb193ff459614933,8951.330286
0x28ad90cc240168769db8d1c08639f890bf7ebf42,8752.78934
0xafa7529a37b9022c4d9db947d3288685d71d0e0a,8501.631531
0x07d5b76056f82f915daf8921d16b5930bb6b74ad,8439.315713
0xd3fe7799b19ee056865a9695d8c1a56525341d3b,8386.240439
0x7a5ff81c5ce5cdaded994af815dd33203d7e1ab1,8186.324367
0xd6c367e82bf2445e9b9e4cda2035023708626636,8100
0x968e3f879979e30820525c9e52cb9392e3b2111f,8076.617647
0x82ab3a7e83898cf5df25dff02ad74c4ac41835d3,7979.489218
0x581a2038195e8417a86b282b6d5604fc33ddf4d6,7907.080807
0x7796330eb10b0ca8c5f03b53521cd35a7ec6d87b,7892.497328
0xd88470a06ea3718d784364b10bb639d5ed6b63dc,7873.54875
0x96ae204ae0d98bb2d1e13bbf86939740f268dd79,7857.4775
0x99a2cf10f8ca27c747ca0d60dd843c8c7d452fbe,7795.723588
0xd3a01a73990bbc0332be2f82469eb5ea7338cbbd,7739.361702
0x5fd31b9434b7ac2b7a261093105ab56348b3a649,7680.1767
0xaae97789a922fa8898d643e51da0fed5299b09ef,7660.380976
0x471c305b2675e54c68789424c2090c799bd4e232,7655.474146
0xfab9e39c60969d66434b1a56d6f401be5da8e61e,7510.686084
0xba0815f8a0cec67e9b7d1ad1acfd7ad1463a5461,7502.816573
0x9a8c28b6ba7fe54c624a4ac72a151b1df7061624,7483.154022
0xcb28fb1409025beacbcb6b44b180af86bb9e15f1,7358
0x023f60ecf35a232b81379f29db6e3a8a6e2f6f9b,7120.42
0x5942f20c127d7f9decc9948e41323b41c76622d0,7042.314473
0xbb892c46c6a6ad04d11ec43691269d0d70e66ec1,6839.378907
0xad8e19688a2b5e0bd24624ec444d242bac72bd76,6814.543778
0x876c520c74b9f24104ca2eed29d793df7ac70c13,6598.631453
0x5aaf51511e17ef2007aa4c3761ac1362f3e3b525,6230.977394
